SKU;Produto;Quantidade Vendida;Primeiro Nome;Sobrenome;idade;Data;Loja;Preco Unitario;;;; 
HL1918; iPhone ;3;Rilson;Dias;64;06/07/2018;Fortaleza;R$ 5.300,00;;;;
HL7348; SmartWatch ;3;Carlos;Barbosa;47;2/26/2018;Porto Alegre;R$ 1.400,00;;;;
HL1918; iPhone ;4;Kim;Ferreira;31;05/11/2018;Goiânia;R$ 5.300,00;;;;
HL9962; Android ;1;Rafael;Portela;75;3/23/2018;São Paulo;R$ 3.400,00;;;;
HL4379; Televisão ;4;Beatriz;Rocha;58;10/23/2018;Goiânia;R$ 2.500,00;;;;
HL1918; iPhone ;3;Roberta;Nogueira;79;10/17/2018;Porto Alegre;R$ 5.300,00;;;;
HL2714; Tablet ;3;Bianca;Ferezin;50;1/25/2018;São Paulo;R$ 1.600,00;;;;
HL8851; Notebook ;2;Lucas;Costa;71;12/24/2018;Fortaleza;R$ 3.500,00;;;;
HL4379; Televisão ;2;Leandro;Ferreira;34;1/25/2018;Goiânia;R$ 2.500,00;;;;
HL4379; Televisão ;3;Bernardo;Souza;45;9/23/2018;Curitiba;R$ 2.500,00;;;;
HL1918; iPhone ;3;Eduardo;Nunes;81;10/19/2018;Fortaleza;R$ 5.300,00;;;;
HL7348; SmartWatch ;1;Pedro;Rodrigues;50;4/23/2018;Porto Alegre;R$ 1.400,00;;;;
HL4379; Televisão ;5;Fernanda;Junior;20;07/08/2018;São Paulo;R$ 2.500,00;;;;
HL1148; Câmera ;3;Juan;Fernandes;18;3/28/2018;Recife;R$ 2.100,00;;;;
HL9962; Android ;3;Rodrigo;Alves;78;8/21/2018;São Paulo;R$ 3.400,00;;;;
HL1918; iPhone ;1;Thomáz;Bôas;42;7/22/2018;Goiânia;R$ 5.300,00;;;;
HL7348; SmartWatch ;5;Andreza;Ramos;69;1/19/2018;Fortaleza;R$ 1.400,00;;;;
HL8851; Notebook ;4;Carla;Zakhm;59;1/25/2018;São Paulo;R$ 3.500,00;;;;
HL2714; Tablet ;2;Gabrielle;Porto;85;4/23/2018;Recife;R$ 1.600,00;;;;
HL2714; Tablet ;4;Kimberly;Sad;61;05/10/2018;Salvador;R$ 1.600,00;;;;
HL7348; SmartWatch ;1;João;Capitulo;54;2/26/2018;Curitiba;R$ 1.400,00;;;;
HL1148; Câmera ;1;Marina;Marins;62;1/23/2018;Salvador;R$ 2.100,00;;;;
HL1148; Câmera ;1;Aline;Morais;87;9/14/2018;Rio de Janeiro;R$ 2.100,00;;;;
HL8851; Notebook ;1;João;Monteiro;83;02/02/2018;São Paulo;R$ 3.500,00;;;;
HL8851; Notebook ;4;Marina;Delgado;81;05/10/2018;Belo Horizonte;R$ 3.500,00;;;;
HL2714; Tablet ;1;Sthefeson;Barroso;66;03/09/2018;São Paulo;R$ 1.600,00;;;;
HL4379; Televisão ;4;Marcelo;Guadagnino;77;7/23/2018;Fortaleza;R$ 2.500,00;;;;
HL1918; iPhone ;1;Thais;Rodrigues;62;3/23/2018;Rio de Janeiro;R$ 5.300,00;;;;
HL9962; Android ;4;Philipe;Morete;50;10/18/2018;Goiânia;R$ 3.400,00;;;;
HL4379; Televisão ;2;Ravena;Bhering;69;11/24/2018;Porto Alegre;R$ 2.500,00;;;;
HL1148; Câmera ;2;Patrícia;Amaral;67;06/01/2018;São Paulo;R$ 2.100,00;;;;
HL1918; iPhone ;3;Diego;Rodrigues;63;2/21/2018;São Paulo;R$ 5.300,00;;;;
HL1918; iPhone ;3;Katharina;Barros;31;03/12/2018;Fortaleza;R$ 5.300,00;;;;
HL4379; Televisão ;3;Felipe;Jorge;40;07/10/2018;Goiânia;R$ 2.500,00;;;;
HL1918; iPhone ;3;Rafaela;Ferreira;69;12/19/2018;Fortaleza;R$ 5.300,00;;;;
HL2714; Tablet ;5;Bruna;Gomes;45;8/22/2018;Porto Alegre;R$ 1.600,00;;;;
HL4379; Televisão ;3;João;Rodrigues;87;1/25/2018;Rio de Janeiro;R$ 2.500,00;;;;
HL1918; iPhone ;5;Stephanie;Gonçalves;59;12/01/2018;Rio de Janeiro;R$ 5.300,00;;;;
HL9962; Android ;4;Gabriella;Sagrillo;76;7/24/2018;Fortaleza;R$ 3.400,00;;;;
HL2714; Tablet ;4;Felipe;Mendonça;84;12/20/2018;São Paulo;R$ 1.600,00;;;;
HL4379; Televisão ;5;Pedro;Sena;42;7/22/2018;Rio de Janeiro;R$ 2.500,00;;;;
HL7348; SmartWatch ;1;Luiza;Farias;22;7/30/2018;Salvador;R$ 1.400,00;;;;
HL9962; Android ;2;Samara;Pinto;48;12/23/2018;São Paulo;R$ 3.400,00;;;;
HL2714; Tablet ;2;Philipe;Morete;71;07/11/2018;Rio de Janeiro;R$ 1.600,00;;;;
HL4379; Televisão ;2;Larissa;Florim;45;03/11/2018;Rio de Janeiro;R$ 2.500,00;;;;
HL1918; iPhone ;1;Paloma;Sperandei;74;04/09/2018;São Paulo;R$ 5.300,00;;;;
HL4379; Televisão ;1;Arthur;Souza;51;6/18/2018;Salvador;R$ 2.500,00;;;;
HL4379; Televisão ;4;Platini;Heimlich;55;08/04/2018;Rio de Janeiro;R$ 2.500,00;;;;
HL4379; Televisão ;4;Dykson;Silva;77;12/05/2018;São Paulo;R$ 2.500,00;;;;
HL9962; Android ;2;Catarina;Teixeira;21;05/05/2018;Salvador;R$ 3.400,00;;;;
HL9962; Android ;2;João;Junior;25;01/11/2018;Goiânia;R$ 3.400,00;;;;
HL2714; Tablet ;4;Priscila;Carvalho;59;2/21/2018;São Paulo;R$ 1.600,00;;;;
HL9962; Android ;5;Gustavo;Azevedo;32;05/02/2018;Rio de Janeiro;R$ 3.400,00;;;;
HL4379; Televisão ;4;Daniela;Rosa;22;4/25/2018;São Paulo;R$ 2.500,00;;;;
HL2714; Tablet ;4;Isabelle;Firmino;55;12/16/2018;Rio de Janeiro;R$ 1.600,00;;;;
HL1918; iPhone ;4;Roberto;Tiradentes;65;10/17/2018;São Paulo;R$ 5.300,00;;;;
HL1918; iPhone ;4;Marina;Gama;39;7/20/2018;Goiânia;R$ 5.300,00;;;;
HL1148; Câmera ;4;Caio;Silva;53;1/24/2018;Rio de Janeiro;R$ 2.100,00;;;;
HL8851; Notebook ;5;Giovana;Vilela;74;07/10/2018;Belo Horizonte;R$ 3.500,00;;;;
HL4379; Televisão ;5;Adriana;Carneiro;74;7/15/2018;Rio de Janeiro;R$ 2.500,00;;;;
HL1918; iPhone ;1;Lucas;Fontoura;70;12/01/2018;São Paulo;R$ 5.300,00;;;;
HL4379; Televisão ;3;Roberta;Nogueira;88;6/24/2018;Fortaleza;R$ 2.500,00;;;;
HL9962; Android ;3;Bianca;Paz;24;9/13/2018;Porto Alegre;R$ 3.400,00;;;;
HL8851; Notebook ;3;Renan;Melo;51;12/02/2018;Curitiba;R$ 3.500,00;;;;
HL1918; iPhone ;4;Ana;Monte;74;7/24/2018;São Paulo;R$ 5.300,00;;;;
HL9962; Android ;2;João;Júnior;59;5/23/2018;Salvador;R$ 3.400,00;;;;
HL4379; Televisão ;4;Rilson;Guedes;66;3/15/2018;Goiânia;R$ 2.500,00;;;;
HL1148; Câmera ;4;Juliana;Silva;89;08/08/2018;São Paulo;R$ 2.100,00;;;;
HL4379; Televisão ;3;João;Guadagnino;68;6/17/2018;Fortaleza;R$ 2.500,00;;;;
HL1148; Câmera ;5;Michelle;Figueiredo;76;02/09/2018;Fortaleza;R$ 2.100,00;;;;
HL1918; iPhone ;2;Brenno;Santos;53;09/01/2018;Rio de Janeiro;R$ 5.300,00;;;;
HL2714; Tablet ;1;Rafaela;Gonçalves;30;02/01/2018;Salvador;R$ 1.600,00;;;;
HL4379; Televisão ;1;Pedro;Delgado;37;3/23/2018;São Paulo;R$ 2.500,00;;;;
HL4379; Televisão ;1;Vanessa;Bach;70;7/24/2018;São Paulo;R$ 2.500,00;;;;
HL1918; iPhone ;4;Felipe;Mello;47;3/13/2018;Goiânia;R$ 5.300,00;;;;
HL1918; iPhone ;4;Luis;Souza;37;05/09/2018;São Paulo;R$ 5.300,00;;;;
HL8851; Notebook ;1;Gabrielle;Vasconcelos;87;6/14/2018;Rio de Janeiro;R$ 3.500,00;;;;
HL4379; Televisão ;1;Marcela;Medeiros;75;12/01/2018;Rio de Janeiro;R$ 2.500,00;;;;
HL1918; iPhone ;2;Eduardo;Silva;50;3/31/2018;Recife;R$ 5.300,00;;;;
HL1918; iPhone ;4;Matheus;Delgado;86;03/11/2018;Salvador;R$ 5.300,00;;;;
HL1918; iPhone ;2;Matheus;Miranda;48;12/31/2018;Fortaleza;R$ 5.300,00;;;;
HL7348; SmartWatch ;4;Eric;Carvalho;71;12/25/2018;Rio de Janeiro;R$ 1.400,00;;;;
HL4379; Televisão ;3;Khaio;Mesquita;75;1/15/2018;São Paulo;R$ 2.500,00;;;;
HL4379; Televisão ;2;Guilherme;Lima;68;5/31/2018;Porto Alegre;R$ 2.500,00;;;;
HL2714; Tablet ;2;Carlos;Silva;52;05/01/2018;Salvador;R$ 1.600,00;;;;
HL1918; iPhone ;2;Matheus;Figueiredo;48;06/12/2018;Salvador;R$ 5.300,00;;;;
HL1918; iPhone ;5;Gabriel;Brito;79;7/15/2018;Belo Horizonte;R$ 5.300,00;;;;
HL7348; SmartWatch ;1;Amanda;Delgado;81;10/22/2018;Belo Horizonte;R$ 1.400,00;;;;
HL8851; Notebook ;2;Thales;Santos;65;10/15/2018;Rio de Janeiro;R$ 3.500,00;;;;
HL1918; iPhone ;5;Isabella;Scalabrin;70;6/13/2018;Belo Horizonte;R$ 5.300,00;;;;
HL2714; Tablet ;2;Diogo;Ressurreição;40;04/01/2018;São Paulo;R$ 1.600,00;;;;
HL4379; Televisão ;5;Mônica;Rotolo;41;09/03/2018;Fortaleza;R$ 2.500,00;;;;
HL2714; Tablet ;5;Lucas;Lima;90;10/09/2018;São Paulo;R$ 1.600,00;;;;
HL4379; Televisão ;5;Sthefeson;Pereira;22;3/30/2018;Curitiba;R$ 2.500,00;;;;
HL7348; SmartWatch ;1;Guilherme;Lima;40;7/16/2018;Curitiba;R$ 1.400,00;;;;
HL1918; iPhone ;4;Eduardo;Pacheco;77;12/28/2018;Curitiba;R$ 5.300,00;;;;
HL1918; iPhone ;2;Adrielle;Vieira;37;08/09/2018;Rio de Janeiro;R$ 5.300,00;;;;
HL8851; Notebook ;3;Beatriz;Silva;68;9/21/2018;Goiânia;R$ 3.500,00;;;;
HL1918; iPhone ;3;Raphael;Ferman;88;4/22/2018;Recife;R$ 5.300,00;;;;
HL8851; Notebook ;1;Juliana;Correa;37;5/30/2018;Fortaleza;R$ 3.500,00;;;;
HL1918; iPhone ;5;Guilherme;Monteiro;36;07/07/2018;Belo Horizonte;R$ 5.300,00;;;;
HL9962; Android ;2;Lucas;Freire;76;02/08/2018;Fortaleza;R$ 3.400,00;;;;
HL7348; SmartWatch ;3;Vanessa;Rodrigues;46;10/20/2018;Goiânia;R$ 1.400,00;;;;
HL4379; Televisão ;1;Jonatas;Passos;37;12/20/2018;Fortaleza;R$ 2.500,00;;;;
HL1918; iPhone ;1;Anna;Silva;38;7/20/2018;Curitiba;R$ 5.300,00;;;;
HL1918; iPhone ;5;Caio;Moraes;65;6/17/2018;Fortaleza;R$ 5.300,00;;;;
HL1148; Câmera ;2;Pedro;Santos;74;4/24/2018;Rio de Janeiro;R$ 2.100,00;;;;
HL4379; Televisão ;5;Clara;Bruno;47;1/17/2018;Porto Alegre;R$ 2.500,00;;;;
HL9962; Android ;5;Vinícius;Antunes;43;1/16/2018;Salvador;R$ 3.400,00;;;;
HL7348; SmartWatch ;4;Giuseppe;Borges;69;07/11/2018;Curitiba;R$ 1.400,00;;;;
HL1918; iPhone ;3;José;Vieira;32;08/09/2018;São Paulo;R$ 5.300,00;;;;
HL9962; Android ;1;Camilla;Vieira;21;12/28/2018;Rio de Janeiro;R$ 3.400,00;;;;
HL9962; Android ;4;Giovana;Vilela;21;1/25/2018;Porto Alegre;R$ 3.400,00;;;;
HL9962; Android ;4;Thomáz;Bôas;83;02/02/2018;Salvador;R$ 3.400,00;;;;
HL8851; Notebook ;3;Daniel;Nauenberg;58;07/10/2018;Fortaleza;R$ 3.500,00;;;;
HL7348; SmartWatch ;4;Camila;Bastazini;25;4/28/2018;Goiânia;R$ 1.400,00;;;;
HL1918; iPhone ;2;Viviane;Souza;73;08/09/2018;Fortaleza;R$ 5.300,00;;;;
HL8851; Notebook ;2;Isabela;Resende;44;8/27/2018;Salvador;R$ 3.500,00;;;;
HL9962; Android ;3;Roberta;Teixeira;29;07/12/2018;Rio de Janeiro;R$ 3.400,00;;;;
HL1918; iPhone ;4;Victor;Oliveira;40;1/30/2018;Curitiba;R$ 5.300,00;;;;
HL2714; Tablet ;3;João;Menezes;31;08/03/2018;Curitiba;R$ 1.600,00;;;;
HL1918; iPhone ;3;Marina;Aragão;86;12/25/2018;Fortaleza;R$ 5.300,00;;;;
HL1918; iPhone ;1;Bárbara;Cavalcante;34;03/01/2018;Salvador;R$ 5.300,00;;;;
HL1148; Câmera ;4;Breno;Costa;87;11/17/2018;Salvador;R$ 2.100,00;;;;
HL4379; Televisão ;5;Sthefeson;Barroso;36;2/19/2018;Salvador;R$ 2.500,00;;;;
HL1918; iPhone ;1;Carlos;Azevedo;27;08/08/2018;Salvador;R$ 5.300,00;;;;
HL1918; iPhone ;1;João;Silva;85;10/06/2018;Rio de Janeiro;R$ 5.300,00;;;;
HL1918; iPhone ;3;Eduardo;Veiga;44;8/21/2018;Rio de Janeiro;R$ 5.300,00;;;;
HL1148; Câmera ;3;Wilson;Brandão;84;4/24/2018;Rio de Janeiro;R$ 2.100,00;;;;
HL4379; Televisão ;4;Rilson;Guedes;22;9/27/2018;Recife;R$ 2.500,00;;;;
HL2714; Tablet ;1;Bernardo;Borges;65;08/12/2018;Salvador;R$ 1.600,00;;;;
HL4379; Televisão ;3;Isabel;Lacerda;65;01/10/2018;Belo Horizonte;R$ 2.500,00;;;;
